PMID,First Author,Number of Patients,Whole Gland Salvage (%),Biospsy-Proven Occurrence (%),Age (years),Pre-Salvage PSA (ng/ml),Per-Salvage ADT Use (%),Interval from Initial Treatment to Recurrence or Salvage (%),Follow-up (Months),Toxicity Scoring Criteria
16140090,Masterson TA,100,100.0,,,,,,,Descriptive
20078235,Strope SA,6,100.0,100.0,,9.3,,,15.0,EPIC
19913249,Eandi JA,18,100.0,100.0,67.0,6.8,22.2,79.0,18.0,Descriptive
17081323,Dall'Oglio MF,9,100.0,100.0,59.0,,44.4,36.0,30.0,Descriptive
17070244,Sanderson KM,51,100.0,100.0,65.0,8.0,55.0,62.4,86.4,Descriptive
15890586,Bianco FJ Jr,100,100.0,100.0,65.0,5.9,,48.0,60.0,
27637505,Kim SP,7,100.0,100.0,68.0,,,38.6,3.0,Descriptive
7850294,Brenner PC,10,100.0,100.0,60.0,19.0,50.0,77.0,35.0,Descriptive
7526002,Rogers E,40,100.0,100.0,61.5,,0.0,58.9,39.0,Descriptive
19076132,Boris RS,11,100.0,100.0,64.9,5.2,0.0,53.2,20.5,IPSS
3917295,Mador DR,7,100.0,100.0,62.0,,42.9,24.0,,Descriptive
1523739,Stein A,13,100.0,100.0,64.3,,1.0,65.4,,Descriptive
3411670,Neerhut GJ,16,100.0,100.0,66.6,,0.0,39.4,20.0,Descriptive
19453762,Leonardo C,32,100.0,100.0,63.0,2.3,15.6,31.0,35.0,Descriptive
9827721,Cheng L,86,100.0,100.0,66.0,,55.8,30.0,69.6,
9697786,Tefilli MV,27,100.0,100.0,,9.1,0.0,39.5,34.3,Descriptive
24008772,Zugor V,13,100.0,100.0,63.1,14.4,0.0,48.9,22.8,Descriptive
15758726,Ward JF,138,100.0,100.0,65.1,8.9,32.0,40.2,92.4,Descriptive
9474190,Garzotto M,29,100.0,100.0,66.0,11.8,82.7,58.8,61.2,Descriptive
28761588,Metcalfe MJ,70,100.0,100.0,,3.4,0.0,69.1,33.6,
27347619,Kenney PA,20,100.0,100.0,66.0,2.5,40.0,,16.8,Clavien
27347619,Kenney PA,19,100.0,100.0,66.0,4.5,21.1,,16.8,Clavien
19653872,Nuñez-Mora C,9,100.0,100.0,59.3,9.1,11.1,42.7,26.8,Descriptive
11061900,Vaidya A,6,100.0,100.0,64.4,,66.7,36.0,27.0,Descriptive
30385835,Mohler JL,41,100.0,100.0,64.0,4.1,0.0,64.0,91.0,Descriptive
31075058,Gontero P,395,100.0,95.2,66.3,6.6,5.1,63.6,36.0,Descriptive
16815663,Darras J,11,100.0,,60.5,3.7,27.3,36.9,63.0,Descriptive
30006908,Ogaya-Pinies G,68,100.0,,65.8,4.0,27.3,81.5,14.0,Descriptive
21420229,Chade DC,404,100.0,,65.0,4.5,0.0,41.0,52.8,
30126045,Bonet X,63,100.0,,65.6,4.5,,63.2,22.5,Descriptive
19303197,Heidenreich A,55,100.0,,65.3,7.8,0.0,32.0,23.0,Descriptive
30790014,Clery R,40,100.0,100.0,64.0,5.0,14.0,13.0,24.0,Descriptive
1873780,Moul JW,12,100.0,100.0,,,,32.0,32.0,Descriptive
14532787,Vallancien G,7,100.0,,66.2,,42.9,57.4,11.2,Descriptive
28396223,Orré M,7,100.0,,66.0,6.6,57.1,46.0,24.0,Descriptive
24314031,Yuh B,51,100.0,,68.0,,19.6,68.0,36.0,Descriptive
18639970,Paparel P,149,100.0,,65.0,5.1,,58.8,55.2,Descriptive
16140090,Masterson TA,100,100.0,,,,,,,Descriptive
20078235,Strope SA,6,100.0,100.0,,9.3,,,15.0,EPIC
19913249,Eandi JA,18,100.0,100.0,67.0,6.8,22.2,79.0,18.0,Descriptive
17081323,Dall'Oglio MF,9,100.0,100.0,59.0,,44.4,36.0,30.0,Descriptive
17070244,Sanderson KM,51,100.0,100.0,65.0,8.0,55.0,62.4,86.4,Descriptive
15890586,Bianco FJ Jr,100,100.0,100.0,65.0,5.9,,48.0,60.0,
27637505,Kim SP,7,100.0,100.0,68.0,,,38.6,3.0,Descriptive
7850294,Brenner PC,10,100.0,100.0,60.0,19.0,50.0,77.0,35.0,Descriptive
7526002,Rogers E,40,100.0,100.0,61.5,,0.0,58.9,39.0,Descriptive
19076132,Boris RS,11,100.0,100.0,64.9,5.2,0.0,53.2,20.5,IPSS
3917295,Mador DR,7,100.0,100.0,62.0,,42.9,24.0,,Descriptive
1523739,Stein A,13,100.0,100.0,64.3,,1.0,65.4,,Descriptive
3411670,Neerhut GJ,16,100.0,100.0,66.6,,0.0,39.4,20.0,Descriptive
19453762,Leonardo C,32,100.0,100.0,63.0,2.3,15.6,31.0,35.0,Descriptive
9827721,Cheng L,86,100.0,100.0,66.0,,55.8,30.0,69.6,
9697786,Tefilli MV,27,100.0,100.0,,9.1,0.0,39.5,34.3,Descriptive
24008772,Zugor V,13,100.0,100.0,63.1,14.4,0.0,48.9,22.8,Descriptive
15758726,Ward JF,138,100.0,100.0,65.1,8.9,32.0,40.2,92.4,Descriptive
9474190,Garzotto M,29,100.0,100.0,66.0,11.8,82.7,58.8,61.2,Descriptive
28761588,Metcalfe MJ,70,100.0,100.0,,3.4,0.0,69.1,33.6,
27347619,Kenney PA,20,100.0,100.0,66.0,2.5,40.0,,16.8,Clavien
27347619,Kenney PA,19,100.0,100.0,66.0,4.5,21.1,,16.8,Clavien
19653872,Nuñez-Mora C,9,100.0,100.0,59.3,9.1,11.1,42.7,26.8,Descriptive
11061900,Vaidya A,6,100.0,100.0,64.4,,66.7,36.0,27.0,Descriptive
30385835,Mohler JL,41,100.0,100.0,64.0,4.1,0.0,64.0,91.0,Descriptive
31075058,Gontero P,395,100.0,95.2,66.3,6.6,5.1,63.6,36.0,Descriptive
16815663,Darras J,11,100.0,,60.5,3.7,27.3,36.9,63.0,Descriptive
30006908,Ogaya-Pinies G,68,100.0,,65.8,4.0,27.3,81.5,14.0,Descriptive
21420229,Chade DC,404,100.0,,65.0,4.5,0.0,41.0,52.8,
30126045,Bonet X,63,100.0,,65.6,4.5,,63.2,22.5,Descriptive
19303197,Heidenreich A,55,100.0,,65.3,7.8,0.0,32.0,23.0,Descriptive
30790014,Clery R,40,100.0,100.0,64.0,5.0,14.0,13.0,24.0,Descriptive
1873780,Moul JW,12,100.0,100.0,,,,32.0,32.0,Descriptive
14532787,Vallancien G,7,100.0,,66.2,,42.9,57.4,11.2,Descriptive
28396223,Orré M,7,100.0,,66.0,6.6,57.1,46.0,24.0,Descriptive
24314031,Yuh B,51,100.0,,68.0,,19.6,68.0,36.0,Descriptive
18639970,Paparel P,149,100.0,,65.0,5.1,,58.8,55.2,Descriptive
16140090,Masterson TA,100,100.0,,,,,,,Descriptive
20078235,Strope SA,6,100.0,100.0,,9.3,,,15.0,EPIC
19913249,Eandi JA,18,100.0,100.0,67.0,6.8,22.2,79.0,18.0,Descriptive
17081323,Dall'Oglio MF,9,100.0,100.0,59.0,,44.4,36.0,30.0,Descriptive
17070244,Sanderson KM,51,100.0,100.0,65.0,8.0,55.0,62.4,86.4,Descriptive
15890586,Bianco FJ Jr,100,100.0,100.0,65.0,5.9,,48.0,60.0,
27637505,Kim SP,7,100.0,100.0,68.0,,,38.6,3.0,Descriptive
7850294,Brenner PC,10,100.0,100.0,60.0,19.0,50.0,77.0,35.0,Descriptive
7526002,Rogers E,40,100.0,100.0,61.5,,0.0,58.9,39.0,Descriptive
19076132,Boris RS,11,100.0,100.0,64.9,5.2,0.0,53.2,20.5,IPSS
3917295,Mador DR,7,100.0,100.0,62.0,,42.9,24.0,,Descriptive
1523739,Stein A,13,100.0,100.0,64.3,,1.0,65.4,,Descriptive
3411670,Neerhut GJ,16,100.0,100.0,66.6,,0.0,39.4,20.0,Descriptive
19453762,Leonardo C,32,100.0,100.0,63.0,2.3,15.6,31.0,35.0,Descriptive
9827721,Cheng L,86,100.0,100.0,66.0,,55.8,30.0,69.6,
9697786,Tefilli MV,27,100.0,100.0,,9.1,0.0,39.5,34.3,Descriptive
24008772,Zugor V,13,100.0,100.0,63.1,14.4,0.0,48.9,22.8,Descriptive
15758726,Ward JF,138,100.0,100.0,65.1,8.9,32.0,40.2,92.4,Descriptive
9474190,Garzotto M,29,100.0,100.0,66.0,11.8,82.7,58.8,61.2,Descriptive
28761588,Metcalfe MJ,70,100.0,100.0,,3.4,0.0,69.1,33.6,
27347619,Kenney PA,20,100.0,100.0,66.0,2.5,40.0,,16.8,Clavien
27347619,Kenney PA,19,100.0,100.0,66.0,4.5,21.1,,16.8,Clavien
19653872,Nuñez-Mora C,9,100.0,100.0,59.3,9.1,11.1,42.7,26.8,Descriptive
11061900,Vaidya A,6,100.0,100.0,64.4,,66.7,36.0,27.0,Descriptive
30385835,Mohler JL,41,100.0,100.0,64.0,4.1,0.0,64.0,91.0,Descriptive
31075058,Gontero P,395,100.0,95.2,66.3,6.6,5.1,63.6,36.0,Descriptive
16815663,Darras J,11,100.0,,60.5,3.7,27.3,36.9,63.0,Descriptive
30006908,Ogaya-Pinies G,68,100.0,,65.8,4.0,27.3,81.5,14.0,Descriptive
21420229,Chade DC,404,100.0,,65.0,4.5,0.0,41.0,52.8,
30126045,Bonet X,63,100.0,,65.6,4.5,,63.2,22.5,Descriptive
19303197,Heidenreich A,55,100.0,,65.3,7.8,0.0,32.0,23.0,Descriptive
30790014,Clery R,40,100.0,100.0,64.0,5.0,14.0,13.0,24.0,Descriptive
1873780,Moul JW,12,100.0,100.0,,,,32.0,32.0,Descriptive
14532787,Vallancien G,7,100.0,,66.2,,42.9,57.4,11.2,Descriptive
28396223,Orré M,7,100.0,,66.0,6.6,57.1,46.0,24.0,Descriptive
24314031,Yuh B,51,100.0,,68.0,,19.6,68.0,36.0,Descriptive
18639970,Paparel P,149,100.0,,65.0,5.1,,58.8,55.2,Descriptive
16140090,Masterson TA,100,100.0,,,,,,,Descriptive
20078235,Strope SA,6,100.0,100.0,,9.3,,,15.0,EPIC
19913249,Eandi JA,18,100.0,100.0,67.0,6.8,22.2,79.0,18.0,Descriptive
17081323,Dall'Oglio MF,9,100.0,100.0,59.0,,44.4,36.0,30.0,Descriptive
17070244,Sanderson KM,51,100.0,100.0,65.0,8.0,55.0,62.4,86.4,Descriptive
15890586,Bianco FJ Jr,100,100.0,100.0,65.0,5.9,,48.0,60.0,
27637505,Kim SP,7,100.0,100.0,68.0,,,38.6,3.0,Descriptive
7850294,Brenner PC,10,100.0,100.0,60.0,19.0,50.0,77.0,35.0,Descriptive
7526002,Rogers E,40,100.0,100.0,61.5,,0.0,58.9,39.0,Descriptive
19076132,Boris RS,11,100.0,100.0,64.9,5.2,0.0,53.2,20.5,IPSS
3917295,Mador DR,7,100.0,100.0,62.0,,42.9,24.0,,Descriptive
1523739,Stein A,13,100.0,100.0,64.3,,1.0,65.4,,Descriptive
3411670,Neerhut GJ,16,100.0,100.0,66.6,,0.0,39.4,20.0,Descriptive
19453762,Leonardo C,32,100.0,100.0,63.0,2.3,15.6,31.0,35.0,Descriptive
9827721,Cheng L,86,100.0,100.0,66.0,,55.8,30.0,69.6,
9697786,Tefilli MV,27,100.0,100.0,,9.1,0.0,39.5,34.3,Descriptive
24008772,Zugor V,13,100.0,100.0,63.1,14.4,0.0,48.9,22.8,Descriptive
15758726,Ward JF,138,100.0,100.0,65.1,8.9,32.0,40.2,92.4,Descriptive
9474190,Garzotto M,29,100.0,100.0,66.0,11.8,82.7,58.8,61.2,Descriptive
28761588,Metcalfe MJ,70,100.0,100.0,,3.4,0.0,69.1,33.6,
27347619,Kenney PA,20,100.0,100.0,66.0,2.5,40.0,,16.8,Clavien
27347619,Kenney PA,19,100.0,100.0,66.0,4.5,21.1,,16.8,Clavien
19653872,Nuñez-Mora C,9,100.0,100.0,59.3,9.1,11.1,42.7,26.8,Descriptive
11061900,Vaidya A,6,100.0,100.0,64.4,,66.7,36.0,27.0,Descriptive
30385835,Mohler JL,41,100.0,100.0,64.0,4.1,0.0,64.0,91.0,Descriptive
31075058,Gontero P,395,100.0,95.2,66.3,6.6,5.1,63.6,36.0,Descriptive
16815663,Darras J,11,100.0,,60.5,3.7,27.3,36.9,63.0,Descriptive
30006908,Ogaya-Pinies G,68,100.0,,65.8,4.0,27.3,81.5,14.0,Descriptive
21420229,Chade DC,404,100.0,,65.0,4.5,0.0,41.0,52.8,
30126045,Bonet X,63,100.0,,65.6,4.5,,63.2,22.5,Descriptive
19303197,Heidenreich A,55,100.0,,65.3,7.8,0.0,32.0,23.0,Descriptive
30790014,Clery R,40,100.0,100.0,64.0,5.0,14.0,13.0,24.0,Descriptive
1873780,Moul JW,12,100.0,100.0,,,,32.0,32.0,Descriptive
14532787,Vallancien G,7,100.0,,66.2,,42.9,57.4,11.2,Descriptive
28396223,Orré M,7,100.0,,66.0,6.6,57.1,46.0,24.0,Descriptive
24314031,Yuh B,51,100.0,,68.0,,19.6,68.0,36.0,Descriptive
18639970,Paparel P,149,100.0,,65.0,5.1,,58.8,55.2,Descriptive
28274241,Mbeutcha A,10,100.0,,69.0,4.4,20.0,86.5,22.5,CTCAE
24373762,Yamada Y,42,100.0,100.0,72.0,3.5,0.0,73.0,36.0,CTCAE
23474112,Chen CP,52,100.0,100.0,67.5,9.3,0.0,51.6,59.6,CTCAE
28050174,Gawkowska-Suwinska M,15,100.0,100.0,67.0,4.0,26.7,54.0,9.0,"RTOG, EORTC"
27165612,Wojcieszek P,83,100.0,100.0,70.0,3.1,53.0,67.0,41.0,CTCAE
24317192,Kukiełka AM,25,100.0,100.0,71.0,2.8,40.0,43.0,13.0,CTCAE
18579446,Tharp M,7,100.0,100.0,71.0,5.5,100.0,55.0,58.0,CTCAE
17197119,Lee B,21,100.0,100.0,68.0,5.9,52.4,63.6,18.7,CTCAE
31570236,Henríquez López,75,100.0,100.0,,4.1,29.0,,52.0,CTCAE
28838648,Kollmeier MA,61,100.0,100.0,74.0,3.9,44.2,67.2,31.0,CTCAE
28139422,Baumann BC,8,100.0,100.0,75.0,5.0,100.0,56.1,61.0,CTCAE
27795720,Łyczek J,115,,,70.0,,100.0,49.5,,"RTOG, EORTC"
30244878,Murgic J,15,0.0,100.0,75.0,4.1,0.0,91.2,36.0,CTCAE
29333958,Maenhout M,17,0.0,100.0,69.0,4.8,0.0,96.0,10.0,CTCAE
28341011,Jiang P,29,0.0,0.0,75.5,4.1,13.8,66.0,73.0,CTCAE
21933327,Jo Y,11,0.0,100.0,66.0,5.8,0.0,36.0,29.0,CTCAE
28274241,Mbeutcha A,10,100.0,,69.0,4.4,20.0,86.5,22.5,CTCAE
24373762,Yamada Y,42,100.0,100.0,72.0,3.5,0.0,73.0,36.0,CTCAE
23474112,Chen CP,52,100.0,100.0,67.5,9.3,0.0,51.6,59.6,CTCAE
28050174,Gawkowska-Suwinska M,15,100.0,100.0,67.0,4.0,26.7,54.0,9.0,"RTOG, EORTC"
27165612,Wojcieszek P,83,100.0,100.0,70.0,3.1,53.0,67.0,41.0,CTCAE
24317192,Kukiełka AM,25,100.0,100.0,71.0,2.8,40.0,43.0,13.0,CTCAE
18579446,Tharp M,7,100.0,100.0,71.0,5.5,100.0,55.0,58.0,CTCAE
17197119,Lee B,21,100.0,100.0,68.0,5.9,52.4,63.6,18.7,CTCAE
31570236,Henríquez López,75,100.0,100.0,,4.1,29.0,,52.0,CTCAE
28838648,Kollmeier MA,61,100.0,100.0,74.0,3.9,44.2,67.2,31.0,CTCAE
28139422,Baumann BC,8,100.0,100.0,75.0,5.0,100.0,56.1,61.0,CTCAE
27795720,Łyczek J,115,,,70.0,,100.0,49.5,,"RTOG, EORTC"
30244878,Murgic J,15,0.0,100.0,75.0,4.1,0.0,91.2,36.0,CTCAE
29333958,Maenhout M,17,0.0,100.0,69.0,4.8,0.0,96.0,10.0,CTCAE
28341011,Jiang P,29,0.0,0.0,75.5,4.1,13.8,66.0,73.0,CTCAE
21933327,Jo Y,11,0.0,100.0,66.0,5.8,0.0,36.0,29.0,CTCAE
31629838,Fuller DB,50,100.0,100.0,74.0,4.0,14.0,98.0,44.0,CTCAE
20437861,Vavassori A,6,100.0,0.0,68.0,3.7,66.7,,11.3,"EORTC, RTOG"
28599663,Leroy T,23,82.6,83.0,70.0,2.5,60.8,65.0,22.0,CTCAE
29983098,Miszczyk L,38,89.5,68.4,71.6,4.3,55.3,101.0,14.4,"EORTC, RTOG"
31344433,Pasquier D,100,49.0,100.0,71.2,4.3,34.0,90.0,29.3,CTCAE
28274241,Mbeutcha A,18,0.0,,69.0,4.5,55.6,77.0,14.5,CTCAE
27342944,Janoray G,11,0.0,0.0,80.0,3.4,9.0,98.4,11.7,"CTCAE, IPSS"
21277113,Jereczek-Fossa BA,15,0.0,10.0,68.8,3.5,33.0,66.0,9.5,"EORTC, RTOG"
