PMID,Year,Trial phase,Tumor type,Treat arms,pts,Nephritis G1-5,Nephritis G3-5,Blood creatinine G1-5,Blood creatinine G3-5,AKI G1-5,AKI G3-5
30262187,2014,3,Melanoma,nivolumab 3 mg/kg every 2 weeks vs. dacarbazine 1 g/m2 every 3 weeks,206 vs. 205,not available vs. not available,not available vs. not available,1 vs. 1,0 vs. 0,1 vs. 0,1 vs. 0
28212060,2015,2,Melanoma,pembrolizumab 2 mg/kg every 3 weeks vs. pembrolizumab 10 mg/kg every 3 weeks vs. investigator’s choice of chemotherapy every 3 weeks,178 vs. 179 vs. 171,1 vs. 1 vs. 0,0 vs. 0 vs. 0,not available vs. not available vs. not available,not available vs. not available vs. not available,not available vs. not available vs. not available,not available vs. not available vs. not available
26412456,2015,3,Melanoma,pembrolizumab 10 mg/kg every 2/3 weeks vs. Ipilimumab 3 mg/kg every 3 weeks,555 vs. 256,1 vs. 1,0 vs. 1,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available
26028407,2015,3,NSCL,nivolumab 3 mg/kg every 2 weeks vs. docetaxel 75 mg/m2 every 3 weeks,287 vs. 268,not available vs. not available,not available vs. not available,5 vs. 1,0 vs. 0,1 vs. 0,0 vs. 0
28636851,2015,3,Melanoma,nivolumab 3 mg/kg every 2 weeks vs. investigator’s choice of chemotherapy every 3 weeks,268 vs. 102,not available vs. not available,not available vs. not available,2 vs. 0,0 vs. 0,not available vs. not available,not available vs. not available
30509740,2016,3,NSCL,pembrolizumab 200 mg every 3 weeks vs. platinum-based chemotherapy,154 vs. 150,1 vs. 0,1 vs. 0,3 vs. 15,0 vs. 1,not available vs. not available,not available vs. not available
27718784,2016,3,Head-and-neck,nivolumab 3 mg/kg every 2 weeks vs. Methotrexate/docetaxel/cetuximab,236 vs. 111,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available,1 vs. 2,0 vs. 1
26712084,2016,2/3,NSCL,pembrolizumab 2 mg/kg every 3 weeks vs. pembrolizumab 10 mg/kg every 3 weeks vs. docetaxel 75 mg/m2 every 3 weeks,339 vs. 343 vs. 309,not available vs. not available vs. not available,not available vs. not available vs. not available,6 vs. 7 vs. 0,0 vs. 0 vs. 0,not available vs. not available vs. not available,not available vs. not available vs. not available
30955977,2017,3,Urothelial Carcinoma,pembrolizumab 200 mg every 3 weeks vs. investigator’s choice of chemotherapy every 3 weeks,266 vs. 255,2 vs. 0,2 vs. 0,13 vs. 15,2 vs. 1,15 vs. 7,7 vs. 3
27718847,2017,3,NSCL,nivolumab 3 mg/kg every 2 weeks vs. Platinum-based investigator’s choice of chemotherapy every 3 weeks,267 vs. 263,not available vs. not available,not available vs. not available,5 vs. 16,1 vs. 0,not available vs. not available,not available vs. not available
26115796,2017,3,SC-NSCL,nivolumab 3 mg/kg every 2 weeks vs. Docetaxel 75 mg/m2 every 3 weeks,131 vs. 129,1 vs. 0,1 vs. 0,4 vs. 2,0 vs. 0,0 vs. 1,0 vs. 1
25399552,2017,3,Melanoma,Pembrolizumab 10 mg/kg every 3 weeks vs. ipilimumab 3 mg/kg every 3 weeks,277 vs. 278,2 vs. 0,2 vs. 0,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available
25891173,2018,3,Head-and-neck,pembrolizumab 200 mg every 3 weeks vs. Methotrexate/docetaxel,246 vs. 234,not available vs. not available,not available vs. not available,0 vs. 2,0 vs. 0,1 vs. 1,1 vs. 0
30941424,2018,3,NSCL,Avelumab 10 mg/kg every 2 weeks vs. Docetaxel 75 mg/m2 every 3 weeks,393 vs. 365,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available,1 vs. 0,1 vs. 0
25795410,2018,3,Melanoma,Pembrolizumab 200 mg every 3 weeks vs. placebo every 3 weeks,509 vs. 502,2 vs. 1,2 vs. 0,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available
29658430,2018,3,NSCL,Atezolizumab vs. Docetaxel,56 vs. 45,1 vs. 0,1 vs. 0,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available
29525239,2019,3,NSCL,pembrolizumab 200 mg every 3 weeks vs. Platinum-based investigator’s choice of chemotherapy every 3 weeks,636 vs. 615,3 vs. 0,1 vs. 0,not available vs. not available,not available vs. not available,not available vs. not available,not available vs. not available
28822576,2019,3,Renal cell carcinoma,nivolumab 3 mg/kg every 3 weeks vs. Everolimus 10 mg every day,37 vs. 26,not available vs. not available,not available vs. not available,1 vs. 4,0 vs. 0,not available vs. not available,not available vs. not available
29658856,2016,3,Advanced melanoma,"Nivolumab 1 mg/kg + ipilimumab 3 mg/kg, Ipilimumab 3 mg/kg + placebo",150,not available,not available,2,1,not available,not available
30280641,2017,3,Advanced melanoma,"Nivolumab 1 mg/kg + ipilimumab 3 mg/kg every 3 weeks, Ipilimumab 3 mg/kg + placebo",624,not available,not available,19,1,not available,not available
27745820,2018,3,Non-squamous non-small cell lung cancer,"Pembrolizumab 200 mg + Platinum-based investigator’s choice of chemotherapy every 3 weeks, Placebo + Platinum-based investigator’s choice of chemotherapy every 3 weeks",607,7,6,47,2,22,9
27745820,2018,3,extensive-stage small-cell lung cancer,"Atezolizumab 1200 mg + chemotherapy (Carboplatin + Etoposide) every 3 weeks, Placebo + chemotherapy (Carboplatin + Etoposide) every 3 weeks",394,2,1,1,0,5,2
30345906,2018,3,Squamous-cell non-small cell lung cancer,"Pembrolizumab 200 mg + chemotherapy (Carboplatin + [Nab-]paclitaxel) every 3 weeks, Placebo + chemotherapy (Carboplatin + [Nab-]paclitaxel) every 3 weeks",558,4,4,not available,not available,1,1
29863955,2018,3,First-line non-small cell lung cancer,"Atezolizumab 1200 mg + Bevacizumab + Carboplatin + Paclitaxel every 3 weeks, Bevacizumab 15 mg/kg + Carboplatin + Paclitaxel every 3 weeks",787,3,1,not available,not available,3,2
31122901,2018,3,Triple-negative breast cancer,"Atezolizumab 840 mg + Nab-paclitaxel 100 mg/m2 d1,8,15 every 4 weeks, Placebo + Nab-paclitaxel 100 mg/m2 d1,8,15 every 4 weeks",890,1,0,not available,not available,not available,not available
27622997,2016,2,Non-squamous non-small cell lung cancer,"Pembrolizumab 200 mg + chemotherapy (Carboplatin + pemetrexed) every 3 weeks, chemotherapy (Carboplatin + pemetrexed) every 3 weeks",121,not available,not available,10,0,3,2
28889792,2019,3,Non-squamous non-small cell lung cancer,"Atezolizumab 1200 mg + Carboplatin AUC6 q3w + Nab-paclitaxel 100mg/m2 qw, Carboplatin AUC6 q3w + Nab-paclitaxel 100mg/m2 qw",705,4,1,33,2,12,5
