Study,Country,Accrual Period,Study Type,No. of Groups,Type of BT,n,F/U#,PMID
Chatani 2014 (Group A),Japan,1998–2009,Retrospective,2.0,Point A,98,36–84,24563532
Chatani 2014 (Group B),Japan,1998–2009,Retrospective,,Point A,120,36–84,24563532
Derks 2018 (Group 2D),Netherlands,1997–2009,Retrospective,2.0,Point A,35,44 (6–166),29619052
Derks 2018 (Group 3D),Netherlands,2009–2016,Retrospective,,Volume-based,91,35 (5–97),29619052
Dracham 2018,India,2013–2015,Retrospective,1.0,Point A,210,37 (19–54),30452664
Gill 2015,USA,2007–2013,Retrospective,1.0,Volume-based,128,24.4 (2.1–77.2),25680598
Hallock 2011,Canada,2004–2008,Retrospective,1.0,Point A,57,22.6 (2.5–54.1),24673947
Horeweg 2019,Netherlands,2008–2016,Retrospective,1.0,Volume-based,155,56.7 (27.8–79.3),30630883
Horne 2018,USA,2007–2018,Retrospective,1.0,Volume-based,239,28.6 (12.7–53.8),
Kang 2010,Korea,2001–2005,Retrospective,1.0,Volume-based,97,41 (8–60),21074881
Kawashima 2019,Japan,2012–2015,Retrospective,1.0,Volume-based,84,36 (2–62),30649485
Kim 2018,Germany,2008–2013,Retrospective,1.0,Volume-based,128,44 (6–78),
Koh 2017,Singapore,2008–2014,Retrospective,1.0,Volume-based,95,29 (6–76),27816539
Lindegaard 2013,Denmark,2005–2011,Retrospective,1.0,Volume-based,140,36 (6–78),23962242
Mittal 2018,India,2014–2015,Retrospective,1.0,Point A,339,28 (4–45),30085892
Murakami 2014,Japan,2008–2010,Retrospective,1.0,Volume-based,51,39.2 (24.3–52.0),24938757
Parker 2009,UK,1999–2004,Retrospective,1.0,Point A,92,26,18922646
Potter 2011,Austria,2001–2008,Retrospective,1.0,Volume-based,156,42,
Potter 2021,*,2008–2015,Prospective,1.0,Volume-based,1318,51 (20–64),
Rakhsha 2015,Iran,2008–2015,Retrospective,1.0,Point A,154,38 (6–60),26478798
Ribeiro 2016,Belgium,2002–2012,Retrospective,1.0,Volume-based,170,37 (2–136),27157510
Sturdza 2016,*,1998–2013,Retrospective,1.0,Volume-based,731,47 (2–169),27134181
Tharavichitkul 2012 (Group A),Thailand,2004–2006,Prospective,2.0,Point A,172,35,22510600
Tharavichitkul 2012 (Group B),Thailand,2004–2006,Prospective,,Point A,188,35,22510600
Tiwari 2018,India,2014–2017,Retrospective,1.0,Volume-based,151,26 (9–41),30017538
Wang 2017,China,2006–2014,Retrospective,1.0,Point A,73,32.4 (4.8–118.8),28764676
Zolciak-Siwinska 2016,Poland,2010–2011,Retrospective,1.0,Volume-based,216,52 (37–63),27375169
