PMID,Phase,Trial name or ID,Cancer type,ADC agent,Payload type,Target agent,"Total patient number, n","Patients with any grade AEs, n(%)","Patients with grade 3 or higher AEs, n(%)","Patients with AEs leading to discontinuation, n(%)"
31442103,Ib/II,NSABP FB-10,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,27,27 (100%),NA,NA
27601593,I,GO0129,NHL,Pinatuzumab Vedotin (DCDT2980S),MMAE,CD22,91,91 (100%),41 (45%),17 (19%)
30340993,I,IMMUNO-003,CLL,Lorvotuzumab Mertansine (IMGN901),DM1,CD56,37,33 (89%),10 (27%),9 (24%)
27178743,I,C26001,Gastrointestinal malignancies,TAK-264 (MLN0264),MMAE,Guanylyl Cyclase C,41,36 (88%),17 (41%),3 (7%)
28188407,II,C26002,Adenocarcinoma of the G/GEJ,TAK-264 (MLN0264),MMAE,Guanylyl Cyclase C,38,NA,NA,3 (8%)
28527133,II,C26003,Pancreatic adenocarcinoma,TAK-264 (MLN0264),MMAE,Guanylyl Cyclase C,43,32 (74%),15 (35%),4 (9%)
34031784,II,IUSCC-0568,Germ-cell tumors,Brentuximab Vedotin (SGN-35),MMAE,CD30,18,14 (78%),2 (11%),0 (0%)
29401246,II,GO28609,Ovarian cancer,Lifastuzumab Vedotin (DNIB0600A),MMAE,NaPi2b,46,NA,NA,4 (9%)
31257177,I,SYD985.001,Solid tumors,Trastuzumab Duocarmazine (SYD985),seco-DUBA,HER2,185,171 (92%),64 (35%),38 (21%)
28291390,I/II,IMMU-132-01,TNBC,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,69,NA,NA,3 (4%)
30786188,I/II,IMMU-132-01,TNBC,Sacituzumab Govitecan-hziy (hRS7-SN38),SN-38,Trop-2,108,NA,NA,2 (2%)
33741442,I/II,IMMU-132-01,Epithelial cancer,Sacituzumab Govitecan-hziy (hRS7-SN38),SN-38,Trop-2,495,483 (98%),295 (60%),19 (4%)
33882206,III,IMMU-132-05,TNBC,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,258,252 (98%),165 (64%),12 (5%)
25267761,I/II,NA,Breast cancer,Glembatumumab Vedotin (CDX-011),MMAE,gpNMB,48,NA,NA,6 (13%)
33607312,III,TAHOE,SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,287,NA,NA,38 (13%)
35165101,I/II,CTMX-M-2009-001,Solid tumors,Praluzatamab Ravtansine (CX-2009),DM4,CD166,99,90 (91%),37 (37%),12 (12%)
33067614,I/II,ITCC-059,Children ALL,Inotuzumab Ozogamicin (PF-5208773),Calicheamicin,CD22,25,25 (100%),23 (92%),2 (8%)
21172893,II,TDM4258g,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,112,NA,NA,4 (4%)
33989558,II,LOTIS-2,DLBCL,Loncastuximab Tesirine (ADCT-402),PBD,CD19,145,117 (81%),NA,34 (23%)
34329846,I,M15-891,SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,31,25 (81%),12 (39%),2 (7%)
34426443,I/Ib,M14-237,NSCLC,Telisotuzumab Vedotin (ABBV-399),MMAE,c-Met,52,42 (81%),13 (25%),12 (23%)
32189093,I,M14-429,Solid tumors,Losatuxizumab Vedotin (ABBV-221),MMAE,EGFR,45,NA,8 (18%),2 (4%)
27010483,II,TCD12333,DLBCL,Coltuximab Ravtansine (SAR3419),DM4,CD19,52,22 (42%),5 (10%),0 (0%)
33845034,II,innovaTV 204,Cervical cancer,Tisotumab Vedotin (HuMax-TF-ADC),MMAE,TF,102,93 (92%),28 (28%),12 (12%)
35320644,III,DESTINY-Breast03,Breast cancer,"Trastuzumab Deruxtecan (T-DXd),Trastuzumab Emtansine (T-DM1)","['DXd', 'DM1']",HER2,524,482 (92%),220 (42%),46 (9%)
26994014,I,ASG5ME-002,"['Pancreatic', 'Gastric cancers']",ASG-5ME,MMAE,SLC44A4,50,38 (76%),NA,6 (12%)
28677896,III,B1931008,B-NHL,Inotuzumab Ozogamicin (PF-5208773),Calicheamicin,CD22,164,148 (90%),102 (62%),39 (32%)
31689155,I,GO00768,CRPC,DSTP3086S,MSTP2109A,STEAP1,77,69 (90%),26 (34%),17 (22%)
33617672,I,GO39902,AML,DCLL9718S,PBD,CLL-1,18,9 (50%),2 (11%),NA
30745090,"['I', 'II']",InnovaTV 201,Solid tumours,Tisotumab Vedotin (HuMax-TF-ADC),MMAE,TF,147,146 (99%),61 (47%),32 (22%)
33795255,I/Ib,D9320C00001,CRPC,MEDI3726,PBD,PSMA,33,30 (91%),15 (46%),11 (33%)
33820780,I,M15-394,Sarcomas,ABBV-085,MMAE,LRRC15,78,62 (80%),19 (24%),11 (14%)
29037983,I,DS8201-A-J101,Solid tumors/Breast cancer/G/GEJ tumours,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,24,NA,NA,3 (13%)
28817371,I/II,IMMU-130-02,Colorectal cancer,Labetuzumab Govitecan (hMN-14-SN38),SN-38,CEACAM5 (CD66e),86,NA,NA,13 (15%)
