PMID,"Evaluable patients, n","Age in years, Median (Range)","Male gender, n (%)",Study Design,Location,AML Status,Prior HCT,Prior Therapies Median/Drugs,Conditioning Regimen,Post CAR-T Allogenic-HCT,Source of CAR-T cell therapy (Autologous vs Allogeneic),Manufacturing time in days,Target Antigen,Transduction Mechanism,Costimulatory Domain
33495835,10,27 (8-56),7 (70),Clinical Trial,China,"Refractory=1, Relapsed=9",No,Not available,None,No,Auto & Allogenic,14,C-type lectin-like molecule 1,Lentiviral vector,Cytarabine & Decitabine-3 and Cytarabine & Decitabine-28
25174587,1,41,1 (100),Clinical Trial,China,Relapsed & Refractory,No,"mitoxantrone & cytarabine, High-dose intermittent ARA-C, Daunorubicin & Cytarabine and Idarubicin & Cytarabine",None,No,Autologous,13,CD33,Lentiviral vector,4-1BBζ-GFP
33832948,4,8.4 (7.3-9.6),2 (50),Phase I/II Clinical Trial,China,All relapsed & Refractory,No,"Patient 1,2 &3 (mitoxantrone & cytarabine), Patient 4 (Homoharringtonine & Cytarabine)",Fludarabine & Cyclophosphamide,1 Patient at day 90,Autologous,Not available,C-type lectin-like molecule 1,Lentiviral vector,CD28-CD27-CD3z
30034945,3,24 (14- 49),1 (33),Phase I Clinical Trial,China,All relapsed,1 Patient,"Patient #1: Idarubicin & Cytarabine, Fludarabine, Cytarabine(Ara-C) & mitoxantrone & cytarabine, Patient #2: Homoharringtonine, Cytarabine & G-CSF,Fludarabine, Cytarabine & G-CSF & multiple other chemotherapies, Patient #3: Homoharringtonine, Cytarabine & G-CSF, Idarubicin & Cytarabine, Cytarabine & Etoposide, & mitoxantrone & cytarabine",Not available,1 Patient at day 60,Allogenic (NK-92 Cells),Not available,CD33,Lentiviral,Cytarabine & Decitabine-28/4-1BB
30396908,7,70 (44-79),Not available,Phase I Clinical Trial,USA,"Refractory=4, Relapsed=3",Not available,"1 (0-4) AML patients either received non prior therapies or a combination of Daunorubicin & Cytarabine,Fludarabine, Cytarabine & G-CSF, High-dose intermittent ARA-C, Decitabine, Azacytidine chemotherapies",None,1 patient at day 120,Autologous,9,Natural Killer Group 2D,Retroviral,Dap10
28864289,6,71 (56-80),6 (100),Phase I Clinical Trial,USA,All relapsed & Refractory,No,"atient #1: Idarubicin & Cytarabine, High dose Cytarabine, Dasatinib & ATRA, Patient #2: Idarubicin & Cytarabine, Fludarabine, Cytarabine(Ara-C), mitoxantrone & Etoposide, Clofarabine & Cytarabine, Patient #3: Idarubicin & Cytarabine, mitoxantrone & Etoposide, Fludarabine, Cytarabine(Ara-C), Patient #4: Idarubicin & Cytarabine&Cytarabine & Decitabine Patient #5: Cytarabine & Decitabine, Decitabine & Azacytidine, Patient #6: Cytarabine & Decitabine, Patient #7: Cytarabine & Decitabine",Not available,No,Allogenic (aNK cell),10,"CD33, CD34, CD45, CD117",Not available,Not available
30631098,2,"15, 18",2 (100),Case report,China,"Refractory=1, Relapsed=1",1 patient,"“3+7” regimen Idarubicin & Cytarabine, High-dose intermittent ARA-C",Decitabine & Fludarabine & Cyclophosphamide,No,"Auto (1), Allogenic (1 from sibling donor)","Case 1 (8), Case 2 (14)",CD19,Not available,Not available
29703727,1,52,1 (100),Case report *,USA,Relapsed & Refractory,Yes,"“3+7” regimen Idarubicin & Cytarabine, cladribine, cytarabine, G-CSF & mitoxantrone",None,Yes at day 97,Autologous,Not available,Natural Killer Group 2D,Retroviral,CD3ζ
31850234,1,25,1 (100),Case report,China,Relapsed,Yes,"Daunorubicin & Cytarabine, mitoxantrone & cytarabine+Idarubicin & Cytarabine, Decitabine, Cytarabine, Aclacinomycin & G-CSF, Decitabine, Mitoxantrone & Ara-C & CLAG + Donor lymphocyte infusion","RIC regimen of Therarubicin, Teniposide, fludarabine & busulfan",Yes,Allogeneic (donor derived),8-12 days,CD123,Retroviral,41BB
34034795,6,34.5 (7-52),5 (83),Clinical trial,China,Relapsed & Refractory,6 Patients,"Decitabine, Homoharringtonine, Cytarabine, Aclarubicin, G-CSF, Decitabine, Etoposide, Cytarabine, Aclarubicin, G-CSF",Fludarabine & Cyclophosphamide,No,"Autologous 4, Allogeneic donor 2 (donor derived)",Not available,CD38,Not available,"41BB, CD3ζ"
33624009,3,66 (54-80),3 (100),Clinical Trial,Germany,Relapsed and Refractory,2 patients,"Chemotherapy, Azacytidine & Venetoclax",Fludarabine & Cyclophosphamide,No,Autologous,Not available,CD123,Not available,Cytarabine & Decitabine-28
