pmid,title,gt_count,retrieved,hits,recall,retrieved_pre_rerank,hits_pre_rerank,recall_pre_rerank,rank_recall_100,rank_recall_500,rank_recall_2000,missed_pmids,error
33746596,Efficacy and Safety of CAR-T Therapy for ...,9,499,2,0.2222,499,2,0.2222,0.2222,0.2222,0.2222,27270177|29669947|29812997|30396908|30572922|30896447|30988175,
32621264,Is PEGylated G-CSF superior to G-CSF in patients with breast cancer receiving ch,9,499,6,0.6667,499,6,0.6667,0.1111,0.6667,1.0,30043207|31205914|31700918,
34761879,Comparison of allogeneic hematopoietic stem cell transplantation and TKI combine,14,500,4,0.2857,500,4,0.2857,0.0,0.2857,0.5714,22650180|22960387|25682595|26065651|26308885|28103625|29046900|29247779|30501869|30988558,
33515668,Meta-analysis of chemotherapy in head and neck cancer (MACH-NC): An update on 10,91,500,2,0.022,500,2,0.022,0.0,0.022,0.1319,10679658|10735893|11054514|11189100|11483325|11716226|1197760|12504039|12506176|12758236|1302472|1376306|1378641|1390316|14645636|14657228|15128893|15128894|1524042|15299181|15534360|15547184|15718308|1612948|16376489|1642879|1695801|1703916|1718348|17197122|1767060|18091334|18222010|19875337|20032123|20572581|20888709|21300466|21567001|2211266|2262356|22749632|23129742|2317751|23182993|2414253|2417476|2418400|2419292|2420153|2428668|2451135|2501243|25049329|25224814|25782685|26124084|2650723|27494036|2885080|28911070|3054373|3121233|32797376|3550340|3580158|384188|4852531|6162599|6203024|7410127|7539873|7540606|75878|7691784|7989940|8113846|8158680|8233298|8454478|8609658|8688226|88754|8938220|8985019|9165133|9165134|9552032|9632446,
33735801,Adjuvant endocrine therapy in HER2-positive breast cancer patients: systematic r,6,500,1,0.1667,500,1,0.1667,0.1667,0.1667,0.5,21247627|22018631|26598744|29863451|30475668,
35259419,Point-A vs. volume-based brachytherapy for the treatment of cervix cancer: A met,23,500,9,0.3913,500,9,0.3913,0.1304,0.3913,0.7826,18922646|21074881|24563532|24673947|26478798|27157510|27734106|27816539|28764676|29619052|30017538|30452664|30630883|33794207,
32539858,Survival outcomes of neoadjuvant versus adjuvant chemotherapy in triple-negative,7,500,1,0.1429,500,1,0.1429,0.0,0.1429,0.4286,20599225|21725686|29348858|29470805|30290661|31536530,
37168849,Outcomes with chimeric antigen receptor t-cell therapy in relapsed or refractory,11,302,3,0.2727,302,3,0.2727,0.0,0.2727,0.2727,25174587|28864289|29703727|30034945|30396908|30631098|31850234|33624009,
34167181,Microwave ablation compared with radiofrequency ablation for the treatment of li,15,497,0,0.0,497,0,0.0,0.0,0.0,0.2667,21520094|22544225|23470267|24146824|24196263|24720137|24935203|27017124|27387188|27884919|29203394|29503247|29929785|31183208|31476199,
37066936,Comparison of chronic gastrointestinal and genitourinary toxicities between brac,15,500,8,0.5333,500,8,0.5333,0.0667,0.5333,0.8,19853533|23363647|26279031|27720311|28992050|30479615|32642874,
34802798,Adjuvant Chemotherapy for Muscle-invasive Bladder Cancer: A Systematic Review an,10,500,0,0.0,500,0,0.0,0.0,0.0,0.4,16686740|21810677|21859900|2284533|25498218|32395319|6538712|7966789|8201695|8558644,
35093742,Efficacy and activity of PD-1 blockade in patients with advanced esophageal squa,5,500,0,0.0,500,0,0.0,0.0,0.0,0.6,31582355|32416073|33026938|34454674|34519801,
33409896,Nephrotoxicity in patients with solid tumors treated with anti-PD-1/PD-L1 monocl,27,500,0,0.0,500,0,0.0,0.0,0.0,0.0,25399552|25795410|25891173|26028407|26115796|26412456|26712084|27622997|27718847|27745820|27857112|28212060|28636851|28822576|28889792|29525239|29658430|29658856|29863955|30262187|30280635|30280641|30509740|30855754|30941424|30955977|31122901,
