pmid,title,gt_count,retrieved,hits,recall,retrieved_pre_rerank,hits_pre_rerank,recall_pre_rerank,rank_recall_100,rank_recall_500,rank_recall_2000,missed_pmids,error
33746596,Efficacy and Safety of CAR-T Therapy for ...,9,499,8,0.8889,499,8,0.8889,0.4444,0.8889,1.0,27270177,
32621264,Is PEGylated G-CSF superior to G-CSF in patients with breast cancer receiving ch,9,500,6,0.6667,500,6,0.6667,0.0,0.6667,1.0,30181755|31205914|31700918,
34761879,Comparison of allogeneic hematopoietic stem cell transplantation and TKI combine,14,500,9,0.6429,500,9,0.6429,0.0,0.6429,0.7857,24730539|26065651|29046900|30501869|30988558,
33515668,Meta-analysis of chemotherapy in head and neck cancer (MACH-NC): An update on 10,91,500,5,0.0549,500,5,0.0549,0.0,0.0549,0.1538,10679658|10735893|11054514|11189100|11483325|11716226|1197760|12504039|12506176|12758236|1302472|1376306|1378641|1390316|14645636|14657228|15128893|15128894|1524042|15299181|15534360|15547184|15718308|1612948|16376489|1642831|1642879|1695801|1703916|1718348|17197122|1767060|18091334|18222010|19875337|20572581|20888709|21300466|21567001|21831465|2211266|2262356|22749632|23129742|2317751|23182993|2414253|2417476|2418400|2419292|2420153|2428668|2451135|2501243|25224814|26124084|2650723|27494036|2885080|3054373|3121233|3550340|3580158|384188|4852531|6162599|6203024|7410127|7539873|7540606|75878|7691784|7989940|8113846|8158680|8233298|8454478|8609658|8688226|88754|8938220|8985019|9165133|9165134|9552032|9632446,
33735801,Adjuvant endocrine therapy in HER2-positive breast cancer patients: systematic r,6,500,4,0.6667,500,4,0.6667,0.3333,0.6667,0.6667,26598744|29863451,
35259419,Point-A vs. volume-based brachytherapy for the treatment of cervix cancer: A met,23,500,14,0.6087,500,14,0.6087,0.2174,0.6087,0.8261,24563532|24673947|24938757|26478798|27734106|29619052|30085892|30630883|30649485,
32539858,Survival outcomes of neoadjuvant versus adjuvant chemotherapy in triple-negative,7,500,3,0.4286,500,3,0.4286,0.1429,0.4286,1.0,20599225|21725686|29348858|30290661,
37168849,Outcomes with chimeric antigen receptor t-cell therapy in relapsed or refractory,11,338,6,0.5455,338,6,0.5455,0.0909,0.5455,0.5455,28864289|29703727|30631098|33495835|33624009,
34167181,Microwave ablation compared with radiofrequency ablation for the treatment of li,15,500,10,0.6667,500,10,0.6667,0.0,0.6667,0.8667,24196263|27387188|27884919|29929785|31183208,
37066936,Comparison of chronic gastrointestinal and genitourinary toxicities between brac,15,500,7,0.4667,500,7,0.4667,0.0667,0.4667,0.9333,19853533|26279031|27720311|28992050|29936128|30479615|31072729|32642874,
34802798,Adjuvant Chemotherapy for Muscle-invasive Bladder Cancer: A Systematic Review an,10,500,6,0.6,500,6,0.6,0.1,0.6,0.7,2284533|32395319|6538712|8201695,
35093742,Efficacy and activity of PD-1 blockade in patients with advanced esophageal squa,5,500,5,1.0,500,5,1.0,1.0,1.0,1.0,,
33409896,Nephrotoxicity in patients with solid tumors treated with anti-PD-1/PD-L1 monocl,27,500,2,0.0741,500,2,0.0741,0.037,0.0741,0.1111,25399552|25795410|25891173|26028407|26115796|26412456|26712084|27622997|27718847|27857112|28212060|28636851|28822576|28889792|29525239|29658430|29658856|29863955|30262187|30280635|30280641|30509740|30855754|30955977|31122901,
33586699,Neoadjuvant hormone therapy for patients with high-risk prostate cancer: a syste,16,500,5,0.3125,500,5,0.3125,0.0625,0.3125,0.625,12101195|16813890|18172188|19859572|22981136|24401540|25568853|27083115|28485390|30430324|31190986,
32643323,Meta-analysis of immune-related adverse events of immune checkpoint inhibitor th,141,500,1,0.0071,500,1,0.0071,0.0,0.0071,0.0071,17363537|19018089|19139427|19671877|20004617|20082117|20086001|20147741|20498386|20525992|22123319|23295794|23535954|23833564|24035405|25369488|25428504|25482239|25704439|25795410|25891173|25891174|25891304|25977344|26027431|26028407|26050146|26115796|26351349|26398077|26406148|26410424|26412456|26541511|26559583|26712084|26970723|27000274|27138582|27157491|27247226|27267608|27269937|27592805|27717298|27718847|27857112|27928714|27939400|27979383|28034081|28081914|28168303|28266091|28267244|28291584|28314688|28328302|28342215|28359784|28373005|28373007|28375787|28441111|28453692|28596308|28609226|28636851|28655793|28729154|28734759|28817753|28822576|28837405|28861280|28891423|28967485|28981385|28993052|29045540|29063313|29095678|29100190|29116900|29217288|29268948|29370992|29395863|29423515|29462123|29469949|29543932|29545095|29559561|29602646|29658430|29755117|29775807|29850182|29863979|29875066|29880231|29992241|30013326|30052729|30073642|30077125|30208866|30213452|30219915|30262187|30285872|30348224|30383184|30475947|30506519|30508306|30509740|30522700|30570649|30576970|30605211|30612710|30642373|30651126|30654297|30660609|30676622|30717797|30731276|30742120|30753829|30911859|30943124|30955977|30981094|31003911|31039052|31050707|36750016,
36408673,Treatment-related adverse events of antibody-drug conjugates in clinical trials:,134,500,61,0.4552,500,61,0.4552,0.1493,0.4552,0.8582,16934909|21172893|23020162|23382472|24132920|25925619|26775883|26917603|26961907|26994014|27010483|27601593|28056202|28341109|28677896|28817371|29196412|29313813|29401246|29572158|29748443|30093227|30206164|30285518|30340993|30516102|30663074|30680712|30718503|30894515|30920645|31356140|31442103|31444589|31506387|31689155|31693429|31747009|31825192|31969330|32031899|32513564|32521310|32534811|32914879|33067614|33126339|33211842|33221175|33607312|33652156|33823285|33845034|33942442|33991512|34016993|34048682|34242790|34329846|34354225|34426443|34529955|34548309|34590018|34665942|34904799|34955432|34980599|35320644|35665782|35766963|37767550|38333765,
36748348,Active Immunotherapy for Glioblastoma Treatment: A Systematic Review and Meta-An,6,500,3,0.5,500,3,0.5,0.0,0.5,0.5,27690294|28844499|30301187,
32899139,Progression-Free Survival and Overall Survival of CDK 4/6 Inhibitors Plus Endocr,10,500,6,0.6,500,6,0.6,0.6,0.6,0.8,25524798|29804902|30632023|30675515,
34820879,Efficacy of targeted therapy in patients with HER2-positive non-small cell lung ,25,500,8,0.32,500,8,0.32,0.12,0.32,0.52,14679114|14967075|14981103|17947484|23610105|25682316|26598547|27825109|29320312|29420467|30061586|30096481|30685684|30825613|32183953|32614698|32647540,
34585542,Comparison of Thermal Ablation and Surgery for Low-Risk Papillary Thyroid Microc,4,500,2,0.5,500,2,0.5,0.0,0.5,0.75,30568949|31464140,
35966062,Safety and efficacy of ultrasound-guided thermal ablation in treating T1aN0M0 an,9,500,7,0.7778,500,7,0.7778,0.3333,0.7778,0.7778,25814656|32722973,
